model	stage_index	stage	elements	max_abs	rms_abs	relative_l2	delta_relative_l2	exact
deepseek-r1-distill-qwen-1.5b	20	inference.blocks.20	12288	190.582763671875	2.4446969048239819	0.024628933870488968	7.646638672539896e-05	false
deepseek-r1-distill-qwen-1.5b	21	inference.blocks.21	12288	191.14892578125	2.4561903622329826	0.024742905115144379	0.00011397124465541142	false
deepseek-r1-distill-qwen-1.5b	22	inference.blocks.22	12288	191.40771484375	2.4651687719314457	0.024905441933369736	0.00016253681822535684	false
deepseek-r1-distill-qwen-1.5b	23	inference.blocks.23	12288	191.14501953125	2.4682174306055966	0.025066235521552672	0.00016079358818293574	false
deepseek-r1-distill-qwen-1.5b	24	inference.blocks.24	12288	190.259765625	2.4672853551851111	0.025324880563227559	0.00025864504167488755	false
deepseek-r1-distill-qwen-1.5b	25	inference.blocks.25	12288	189.54052734375	2.4654828217729063	0.026475515233397924	0.0011506346701703647	false
deepseek-r1-distill-qwen-1.5b	26	inference.blocks.26	12288	170.487060546875	2.358823050115376	0.03860154777112422	0.012126032537726296	false
deepseek-r1-distill-qwen-1.5b	27	inference.blocks.27	12288	195.063232421875	3.2396944530484948	0.11499582346626135	0.076394275695137126	false
deepseek-r1-distill-qwen-1.5b	28	inference.final_norm	12288	3.4176175594329834	0.15545711320564581	0.05664322677614949	-0.058352596690111856	false
deepseek-r1-distill-qwen-1.5b	29	inference.logits	151936	1.2432370185852051	0.43789038513215195	0.24125438285790074	0.18461115608175124	false
